Green Bond ISIN,Green Bond Name,Trucost Issuer ID, Issuer Name,Issuer GICS Sector / Category,Issuer Country of Origin,Issue Date,Creation Date,Latest Analysis Date,Nominal Amount,Currency,USD Reported Currency Exchange Rate,Maturity Date,Coupon (%),Labelling,Africa (% of UOP),Asia (% of UOP),Europe (% of UOP),North America (% of UOP),Oceania (% of UOP),South America (% of UOP),Undisclosed region (% of UOP),CBI Category,CBI - Green Proceeds (% of UOP),CBI - Renewable Electricity and Heat Production (% of UOP),CBI - Other Electricity and Heat Production (% of UOP),CBI - Nuclear Energy (%UOP),"CBI -  Transmission, distribution & storage (% of UOP)",CBI -  Transport (% of UOP),CBI -  Water (% of UOP),CBI -  Buildings (% of UOP),CBI -  Land Use and Marine Resources (% of UOP),CBI -  Industry (% of UOP),CBI -  Waste (% of UOP),CBI -  ICT (% of UOP),CBI - Others Green (% of UOP),CBI - Undisclosed/Not disbursed proceeds (% of UOP),CBI - Proceeds that are Not Green (% of UOP),Wind Energy (% of UOP),Solar Energy (% of UOP),Hydro Energy (% of UOP),Geothermal Energy (% of UOP),Wave/Tidal Energy (% of UOP),Cogeneration Energy (% of UOP),Bioenergy (% of UOP),Residential Buildings (% of UOP),Commercial Buildings (% of UOP),Energy Efficient Products (% of UOP),Industrial Efficiencies (% of UOP),National Rail (% of UOP),Urban Rail (% of UOP),Public Road Transport (% of UOP),Private Road Transport (% of UOP),Social (% of UOP),Total (GWh),Total Area (m2),Total Passenger (km),Total Energy savings (MWh),CBI - Renewable Electricity and Heat Production (GWh),CBI - Area (m2),CBI - Passenger (km),CBI - Energy savings (MWh),Annual Construction & Disposal emissions (tCO2e),Annual Operational emissions (tCO2e),Lifetime Construction & Disposal emissions (tCO2e),Lifetime Operational emissions (tCO2e),Lifetime emission intensity (tCO2e per GWh),Lifetime emission intensity (tCO2e per Area m2),Lifetime emission intensity (tCO2e per passenger km),Lifetime emission intensity (tCO2e per energy savings MWh),SDG 13 (13.2) Calculated Avoided Emissions Intensity (tCO2e/USD million invested),SDG 13 (13.2) Calculated Avoided Emissions Attributable to the bond (tCO2e),Use of Proceeds Covered by Calculated Avoided Emissions (%),SDG 13 (13.2) Disclosed Avoided Emissions Intensity (tCO2e/USD million invested),SDG 13 (13.2) Disclosed Avoided Emissions (tCO2e),Use of Proceeds Covered by Disclosed Avoided Emissions (%),Calculated Avoided Emissions - Confidence Level,Issuer Score,Impact Score,Use of Proceeds Covered by Impact Score (%),Overall Governance Score,Governance/UOP Score (%),Governance/Process Score (%),Governance/Management Score (%),Governance/Reporting Score (%),Sources
XS2013745703,1% SNR MTN 21/06/2026 EUR100000'160'REGS,44521,"Banco Bilbao Vizcaya Argentaria, S.A.",Financials,Spain,21-06-19,6/1/2022,6/1/2022,1000,EUR,1.15,21-06-26,1,Green,0,0,0,0,0,0,100,Renewable Electricity and Heat Production,100,49,0,0,0,27,3,12,0,0,8,0,1,0,0,37,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1785,85578,NA,NA,1785,85578,NA,NA,24198,50925,169385,356476,70,5,NA,NA,-844,-971886,,-371,-426987,,Low,89,73,,94,75,100,100,100,https://shareholdersandinvestors.bbva.com/wp-content/uploads/2021/07/20210702-BBVA-2020-Green-and-Social-Bond-Report.pdf
BE0000346552,1.25% SNR BDS 22/04/2033 EUR0.01'86'REGS,NA,ÉTat Belge,Industrials,Belgium,5/3/2018,30-12-21,30-12-21,4500,EUR,1.15,22-04-33,1.25,Green,0,0,100,0,0,0,0,Transport,100,5,0,0,0,88,0,0,2,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,65,,93,100,100,100,71,https://www.debtagency.be/sites/default/files/content/download/files/green_olo_-_allocation_report_2018_0.pdf; https://www.debtagency.be/sites/default/files/content/download/files/green_olo_86_-_allocation_report_2019_en.pdf; https://www.debtagency.be/sites/default/files/content/download/files/green_olo_86_-_allocation_report_2020_en.pdf
FR0013067170,1.125% SNR EMTN 14/12/2022 EUR100000,226983,BPCE SA,Financials,France,14-12-15,6/1/2022,6/1/2022,300,EUR,1.14,14-12-22,1.13,Green,0,0,100,0,0,0,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,43,41,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1254,NA,NA,NA,1254,NA,NA,NA,22610,51794,158270,362558,85,NA,NA,NA,-1296,-444460,,-1766,-605658,,Moderate,NA,82,,100,100,100,100,100,https://groupebpce.com/en/content/download/24167/file/Attestation_on_information_related_of_the_allocation_of_funds_as_of_31_12_2019.pdf; https://groupebpce.com/en/content/download/5627/file/2020_04_29%20GBPCE_Framework_of_Sustainable_Development_Bond_Program.pdf
FR0013534484,0.125% SNR EMTN 16/09/2029 EUR100000'164,44557,Orange S.A.,Communication Services,France,16-09-20,10/1/2022,10/1/2022,500,EUR,1.18,16-09-29,0.13,Sustainable,0,0,56,0,0,0,44,ICT,90,0,0,0,0,0,0,0,0,0,0,56,0,34,10,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-179,-105993,,NA,67,12,,95,78,100,100,100,https://www.orange.com/sites/orangecom/files/documents/2021-09/Orange%20Inaugural%20Sustainability%20Bond%20-%20Allocation%20%26%20Impact%20Report.pdf
NL0013552060,0.5% SNR BDS 15/01/2040 EUR1,NA,Netherlands,Industrials,Netherlands,23-05-19,10/1/2022,10/1/2022,5985,EUR,1.15,15-01-40,0.5,Green,0,0,100,0,0,0,0,Transport,100,17,0,0,0,50,29,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,10770,NA,NA,NA,10770,NA,NA,NA,61004,209248,1281089,4394211,29,NA,NA,NA,-875,-6020550,,-994,-6840000,,High,72,63,,94,75,100,100,100,https://english.dsta.nl/binaries/dsta-english/documents/publication/2020/05/28/green-bond-report/Green+bond+report.pdf
PTEDPKOM0034,4.496%-FRN SUB 30/04/2079 EUR100000'REGS,43651,"EDP - Energias de Portugal, S.A.",Utilities,Portugal,30-01-19,10/1/2022,10/1/2022,1000,EUR,1.15,30-04-79,4.5,Green,0,0,0,0,0,0,100,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2502,NA,NA,NA,2502,NA,NA,NA,24177,60109,1450650,3606536,30,NA,NA,NA,-1195,-1371302,,-1414,-1623616,,Moderate,46,91,,94,75,100,100,100,https://www.edp.com/sites/default/files/2021-04/Sustainability%20Report%20EDP%202020_1.pdf
IE00BFZRQ242,1.35% SNR BDS 18/03/2031 EUR0.01 'REGS',NA,Ireland,Industrials,Ireland,17-10-18,7/1/2022,7/1/2022,3000,EUR,1.15,18-03-31,1.35,Sustainable,0,0,100,0,0,0,0,Transport,100,0,0,0,0,43,26,0,3,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,45,,90,90,100,100,71,https://www.ntma.ie/uploads/general/NTMA-Irish-Sovereign-Green-Bond-Allocation-Report-2020.pdf
XS1890709774,0.98% SNR MTN 09/10/23 EUR100000'14'REGS,44523,"Mitsubishi UFJ Financial Group, Inc.",Financials,Japan,9/10/2018,11/1/2022,11/1/2022,500,EUR,1.15,9/10/2023,0.98,Green,0,100,0,0,0,0,0,Buildings,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,91,0,0,0,0,0,0,0,NA,227910,NA,NA,NA,227910,NA,NA,1572,24895,7861,124477,NA,9,NA,NA,-12,-6726,,-4,-2309,,Moderate,46,87,,77,75,100,33,100,https://www.mufg.jp/dam/ir/fixed_income/greenbond/pdf/report181009_en.pdf
XS2209023402,0.75% SNR EMTN 24/07/2032 EUR1000'2020-1,44591,Terna - Rete Elettrica Nazionale Società per Azioni,Utilities,Italy,24-07-20,11/1/2022,11/1/2022,500,EUR,1.18,24-07-32,0.75,Green,0,0,100,0,0,0,0,"Transmission, distribution & storage",100,0,0,0,50,0,0,0,4,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,76,9,,87,78,100,100,71,https://download.terna.it/terna/GreenBondReport2020_ENG_8d94885ffac82e6.pdf
XS2221845683,1.25%-FRN SUB 26/05/2041 EUR100000'REGS',44550,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,Financials,Germany,23-09-20,6/1/2022,6/1/2022,1250,EUR,1.18,26-05-41,1.25,Green,0,0,17,83,0,0,0,Land Use and Marine Resources,100,8,0,0,0,0,15,31,38,0,8,0,0,0,0,8,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,303,80000,NA,NA,303,80000,NA,NA,1835,12568,38540,263925,27,6,NA,NA,-77,-114170,,-110,-163000,,Moderate,33,38,,94,75,100,100,100,https://www.munichre.com/content/dam/munichre/contentlounge/website-pieces/documents/Green-Bond-Allocation-and-Impact-Report-2021.pdf/_jcr_content/renditions/original./Green-Bond-Allocation-and-Impact-Report-2021.pdf; https://www.munichre.com/content/dam/munichre/contentlounge/website-pieces/documents/investor-relations/MunichRe-Green-Bond-Framework.pdf/_jcr_content/renditions/original./MunichRe-Green-Bond-Framework.pdf
FR0013213295,1% SNR EMTN 13/10/2026 EUR100000'32'REGS,49667,Electricité de France S.A.,Utilities,France,13-10-16,12/1/2022,12/1/2022,1750,EUR,1.15,13-10-26,1,Green,0,0,29,71,0,0,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,41,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3700,NA,NA,NA,3700,NA,NA,NA,61487,157453,614868,1574527,141,NA,NA,NA,-717,-1439306,,-807,-1620000,,High,42,83,,100,100,100,100,100,https://www.edf.fr/sites/default/files/contrib/groupe-edf/espaces-dedies/espace-finance-en/financial-information/regulated-information/urd/edf-urd-annual-financial-report-2020-en.pdf#page=493; https://www.edf.fr/sites/default/files/contrib/groupe-edf/espaces-dedies/espace-finance-en/financial-information/publications/financial-results/2020-annual-results/pdf/annual-results-2020-appendices-20210304.pdf#page=29; https://www.edf.fr/groupe-edf/espaces-dedies/investisseurs-actionnaires/espace-obligataire/finance-durable#2020-nouveau-green-bond-framework-d-edf; https://www.edf.fr/sites/default/files/contrib/groupe-edf/espaces-dedies/espace-finance-en/investors-analysts/bonds/social-bonds/hydra-edf-investor-presentation-updated-version_10.11.2021.pdf
FR0013459757,0.1% SNR SEC EMTN 13/11/2029 EUR100000,239946,Caisse Française de Financement Local,Financials,France,13-11-19,12/1/2022,12/1/2022,750,EUR,1.16,13-11-29,0.1,Green,0,0,100,0,0,0,0,Transport,100,2,0,0,0,44,32,0,0,0,21,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,73,NA,NA,678900,73,NA,NA,678900,3666,4071,36659,40710,145,NA,NA,NA,-25,-21498,,-15,-13014,,Moderate,NA,44,,94,75,100,100,100,https://sfil.fr/en/wp-content/uploads/2020/11/202011-SFIL-Group-Green-Bond-Impact-and-Allocation-Reporting.pdf
XS1750986744,1.125% GTD SNR EMTN 16/09/2026 EUR100000,44525,Enel Finance International N.V.,Financials,Netherlands,16-01-18,11/1/2022,12/1/2022,1250,EUR,1.16,16-09-26,1.13,Green,0,0,60,36,0,4,0,"Transmission, distribution & storage",100,46,0,0,50,0,0,0,0,0,0,4,0,0,0,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,NA,NA,NA,1131,NA,NA,NA,25117,47889,200935,383108,87,NA,NA,NA,-331,-477761,,-761,-1099708,,High,27,39,,100,100,100,100,100,https://www.enel.com/content/dam/enel-com/documenti/investitori/sostenibilita/2020/green-bond-report-2020_en.pdf
XS2201857534,2.429% GTD LT2 EMTN 14/07/2031 EUR100000,44548,Assicurazioni Generali S.p.A.,Financials,Italy,14-07-20,12/1/2022,12/1/2022,600,EUR,1.18,14-07-31,2.43,Green,0,0,100,0,0,0,0,Buildings,100,14,0,0,0,0,0,86,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,78,8,0,0,0,0,0,0,121,29905,NA,88547304,121,29905,NA,88547304,1713,6722,18840,73946,57,2,NA,2,-65,-45979,,-40,-28514,,High,84,80,,100,100,100,100,100,https://www.generali.com/doc/jcr:145627a7-16de-45de-8df3-8c53634ec70f/Green%20Bond%20Report%202021%20-%20Emissione%202020.pdf/lang:en/Green_Bond_Report_2021_-_Emissione_2020.pdf
XS2241387252,0.214% SNR NTS 07/10/25 EUR100000'9'REGS,44903,"Mizuho Financial Group, Inc.",Financials,Japan,7/10/2020,11/1/2022,11/1/2022,500,EUR,1.18,7/10/2025,0.21,Green,0,100,0,0,0,0,0,Renewable Electricity and Heat Production,100,80,0,0,0,0,0,20,0,0,0,0,0,0,0,39,18,0,0,0,0,23,0,20,0,0,0,0,0,0,0,410,112875,NA,NA,410,112875,NA,NA,7384,26147,36920,130734,70,4,NA,NA,-424,-250415,,-761,-450017,,Low,91,86,,77,75,100,33,100,https://www.mizuhogroup.com/binaries/content/assets/pdf/mizuhoglobal/sustainability/environment/business/greenbond/improvement_20210928.pdf; https://www.mizuhogroup.com/sustainability/environment/business/greenbond
PTEDPNOM0015,1.625% SNR NTS 15/04/2027 EUR100000 '45',43651,"EDP - Energias de Portugal, S.A.",Utilities,Portugal,15-04-20,12/1/2022,12/1/2022,750,EUR,1.17,15-04-27,1.63,Green,0,0,0,0,0,0,100,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876,NA,NA,NA,1876,NA,NA,NA,18133,45082,126932,315572,30,NA,NA,NA,-1159,-1017979,,-1386,-1217712,,Moderate,46,91,,94,75,100,100,100,https://www.edp.com/sites/default/files/2021-04/Sustainability%20Report%20EDP%202020_1.pdf
XS1503131713,1% SNR EMTN 11/10/2028 EUR100000'2016-2',44591,Terna - Rete Elettrica Nazionale Società per Azioni,Utilities,Italy,11/10/2016,13-01-22,13-01-22,750,EUR,1.15,11/10/2028,1,Not Green,0,0,0,0,0,0,100,Proceeds that are Not Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,76,0,,0,0,0,0,0,https://www.terna.it/en/investors/debt-rating/outstanding-issues; https://download.terna.it/terna/0000/0838/55.PDF
FR0013170834,1.875% SNR BDS 20/05/2026 EUR100000'REGS,51631,Covivio,Real Estate,France,20-05-16,13-01-22,13-01-22,500,EUR,1.15,20-05-26,1.88,Green,0,0,100,0,0,0,0,Buildings,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,NA,160144,NA,NA,NA,160144,NA,NA,1142,10151,11421,101507,NA,5,NA,NA,-4,-2241,,NA,NA,,High,44,82,,93,100,100,100,71,https://www.covivio.eu/en/wp-content/uploads/sites/3/2021/04/2020-Universal-registration-document.pdf
PTEDPLOM0017,1.7%-FRN SUB 20/07/2080 EUR100000 'REGS',43651,"EDP - Energias de Portugal, S.A.",Utilities,Portugal,20-01-20,14-01-22,14-01-22,750,EUR,1.16,20-07-80,1.7,Green,0,0,0,0,0,0,100,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876,NA,NA,NA,1876,NA,NA,NA,18133,45082,1087987,2704902,30,NA,NA,NA,-1168,-1017979,,-1397,-1217712,,Moderate,46,91,,94,75,100,100,100,https://www.edp.com/sites/default/files/2021-04/Sustainability%20Report%20EDP%202020_1.pdf
US500769HD99, US$1.5 bil 2.00%,89834,KfW,Financials,Germany,22-11-16,14-01-22,17-01-22,1500,USD,1,30-11-21,2,Green,0,0,95,0,0,0,5,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,86,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1663,NA,NA,NA,1663,NA,NA,NA,20776,52291,103879,261457,44,NA,NA,NA,-423,-634036,,-745,-1117934,,Moderate,38,85,,77,75,100,33,100,https://www.kfw.de/PDF/Investor-Relations/PFD-Dokumente-Green-Bonds/KfW-Green-Bond-Impact-Report-2015-16.pdf
USL79090AC78,SR GLBL REGS 28,54165,Rumo Luxembourg S.à R.L.,Financials,Luxembourg,1/7/2020,17-01-22,17-01-22,500,USD,1,10/1/2028,5.25,Green,0,0,0,0,0,12,88,Undisclosed/Not disbursed proceeds,100,0,0,0,0,11,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-24,-12000,,NA,7,39,,89,56,100,100,100,https://api.mziq.com/mzfilemanager/v2/d/003f6029-d45a-44ac-9c9e-869fe5df83fc/e5484e22-a481-80a0-70c5-36ea626d4100?origin=1
XS1311459694,0.125% GTD SNR MTN 27/10/2020,89834,KfW,Financials,Germany,27-10-15,13-01-22,13-01-22,1500,EUR,1.14,27-10-20,0.13,Green,0,0,97,0,0,0,3,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,90,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1850,NA,NA,NA,1850,NA,NA,NA,19407,55660,97035,278301,41,NA,NA,NA,-416,-712669,,-751,-1286476,,High,38,85,,77,75,100,33,100,https://www.kfw.de/PDF/Investor-Relations/PFD-Dokumente-Green-Bonds/KfW-Green-Bond-Impact-Report-2015-16.pdf
XS1858912915,1% SNR EMTN 23/07/2023 EUR100000'2018-1',44591,Terna - Rete Elettrica Nazionale Società per Azioni,Utilities,Italy,23-07-18,13-01-22,13-01-22,750,EUR,1.15,23-07-23,1,Green,0,0,100,0,0,0,0,"Transmission, distribution & storage",100,0,0,0,54,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,76,0,,93,100,100,100,71,https://download.terna.it/terna/GreenBondReport2020_ENG_8d94885ffac82e6.pdf
XS1893621026,1.875% SNR NTS 13/10/25 EUR1000'43''REGS,43651,EDP Finance B.V.,Financials,Netherlands,12/10/2018,14-01-22,14-01-22,600,EUR,1.15,13-10-25,1.88,Green,0,0,0,0,0,0,100,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501,NA,NA,NA,1501,NA,NA,NA,14506,36065,101545,252458,30,NA,NA,NA,-1208,-831200,,-1415,-974170,,Moderate,46,91,,94,75,100,100,100,https://www.edp.com/sites/default/files/2021-04/Sustainability%20Report%20EDP%202020_1.pdf
XS2047500926,0.35% SNR NTS 28/02/2030 EUR1000'61'REGS,44534,E.ON SE,Utilities,Germany,28-08-19,17-01-22,17-01-22,750,EUR,1.15,28-02-30,0.35,Green,0,0,100,0,0,0,0,"Transmission, distribution & storage",100,1,0,0,97,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-11273,-9751630,,NA,53,2,,94,75,100,100,100,https://www.eon.com/content/dam/eon/eon-com/eon-com-assets/documents/investor-relations/en/bond/EON_2020_Green_Bond_reporting.pdf
XS2066706818,0% GTD SNR EMTN 17/06/24 EUR1000'83'REGS,44525,Enel Finance International N.V.,Financials,Netherlands,17-10-19,14-01-22,17-01-22,1000,EUR,1.16,17-06-24,0,No sufficient information,0,0,0,0,0,0,100,No sufficient information,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,27,0,,0,0,0,0,0,https://www.enel.com/investors/investing/outstanding-public-bonds; https://www.enel.com/content/dam/enel-com/documenti/investitori/investire-in-enel/programmi-principali/programma-carta-commerciale/interim-statement-of-renewable-energy-installed-capacity_december2020.pdf; https://ise-prodnr-eu-west-1-data-integration.s3-eu-west-1.amazonaws.com/legacy/Final+Terms_2c9dcdc6-983c-46c2-b0ef-e1ec93cdc4be.pdf
US500769GU24,GLOBAL NT 1.875 Nov-30-2020,89834,KfW,Financials,Germany,13-11-15,18-01-22,18-01-22,1000,USD,1,30-11-20,1.88,Green,0,0,97,0,0,0,3,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,90,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1150,NA,NA,NA,1150,NA,NA,NA,12066,34593,60329,172966,41,NA,NA,NA,-443,-442926,,-800,-799556,,High,38,85,,77,75,100,33,100,https://www.kfw.de/PDF/Investor-Relations/PFD-Dokumente-Green-Bonds/KfW-Green-Bond-Impact-Report-2015-16.pdf
XS1414146669,0.05% GTD SNR NTS 30/05/2024 EUR1000,89834,KfW,Financials,Germany,20-05-16,18-01-22,18-01-22,1000,EUR,1.15,30-05-24,0.05,Green,0,0,95,0,0,0,5,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,86,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,NA,NA,NA,1175,NA,NA,NA,14682,36947,117455,295578,44,NA,NA,NA,-391,-447984,,-690,-789892,,High,38,85,,77,75,100,33,100,https://www.kfw.de/PDF/Investor-Relations/PFD-Dokumente-Green-Bonds/KfW-Green-Bond-Impact-Report-2015-16.pdf
XS1682538183,1.25% GTD SNR EMTN 13/09/2027 EUR100000,42800,Iberdrola Finanzas S.A.U.,Financials,Spain,13-09-17,17-01-22,17-01-22,750,EUR,1.16,13-09-27,1.25,Green,0,0,100,0,0,0,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,NA,NA,NA,661,NA,NA,NA,3567,12877,35671,128769,24,NA,NA,NA,-374,-325076,,-253,-219595,,High,50,87,,100,100,100,100,100,https://www.iberdrola.com/documents/20125/42169/Green_financing_returns_report_2020.pdf/425c407b-7e2e-e672-a287-eef61131f602?t=1630654990755
XS1867412006,2% GTD SNR BDS 11/09/2025 EUR1000 'REGS',NA,CGNPC International Limited,Financials,Hong Kong,11/9/2018,17-01-22,17-01-22,500,EUR,1.15,11/9/2025,2,Green,0,0,100,0,0,0,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,NA,NA,NA,973,NA,NA,NA,4939,20614,34574,144298,27,NA,NA,NA,-647,-371059,,-839,-481225,,Moderate,NA,87,,100,100,100,100,100,http://en.cgnpc.com.cn/encgn/c100139/2021-01/12/6f27410b3a8f4490a15edbb6612c402a/files/a544516360bd4a79806cb4ef9fdd7cad.pdf; http://en.cgnpc.com.cn/encgn/c100139/2019-06/20/57b2897c54b545099f2e308dbb55210e/files/d0d418de4c334dcd9fcfa3a9d7b5b588.pdf
XS1897340854,0.5% SNR NTS 28/09/2026 EUR1000 'REGS',89834,KfW,Financials,Germany,24-10-18,18-01-22,18-01-22,1000,EUR,1.15,28-09-26,0.5,Green,0,0,97,0,0,0,3,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,83,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,NA,NA,NA,1312,NA,NA,NA,17952,43951,143612,351610,47,NA,NA,NA,-418,-479310,,-853,-978567,,High,38,85,,77,75,100,33,100,https://www.kfw.de/PDF/Investor-Relations/PFD-Dokumente-Green-Bonds/KfW-Green-Bond-Impact-Report-17-18.pdf
XS2021462440,0.875% GTD SNR EMTN 09/07/29 EUR125000'6,44251,Prologis International Funding II S.A.,Financials,Luxembourg,9/7/2019,13-01-22,13-01-22,450,EUR,1.15,9/7/2029,0.88,Green,0,0,100,0,0,0,0,Buildings,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,NA,330881,NA,NA,NA,330881,NA,NA,2353,22405,23525,224053,NA,5,NA,NA,-10,-5116,,-17,-8688,,Moderate,89,82,,94,75,100,100,100,"https://prologis.getbynder.com/m/5c7f3333a1d5b1ac/original/PELF_Green-Bond-Report_9-July-2020_signed-MTK_KPMG-secured.pdf; https://prologis.getbynder.com/m/7d3d57b800bf311c/original/2021-PELF-Green-Bond-Report.pdf
"
XS1612940558,0.25% SNR NTS 30/06/2025 EUR1000,89834,KfW,Financials,Germany,16-05-17,19-01-22,19-01-22,2000,EUR,1.16,30-06-25,0.25,Green,0,0,93,0,0,0,7,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,86,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2817,NA,NA,NA,2817,NA,NA,NA,29986,85533,239888,684267,41,NA,NA,NA,-466,-1079509,,-816,-1888681,,High,38,85,,77,75,100,33,100,https://www.kfw.de/PDF/Investor-Relations/PFD-Dokumente-Green-Bonds/KfW-Green-Bond-Impact-Report-17-18.pdf
XS1756683659,0.46% SNR NTS 23/01/2023 SEK10000,89834,KfW,Financials,Germany,23-01-18,19-01-22,19-01-22,1000,SEK,0.11,23-01-23,0.46,Green,0,0,97,0,0,0,3,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,83,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135,NA,NA,NA,135,NA,NA,NA,1826,4522,9132,22612,47,NA,NA,NA,-443,-49340,,-900,-100330,,High,38,85,,77,75,100,33,100,https://www.kfw.de/PDF/Investor-Relations/PFD-Dokumente-Green-Bonds/KfW-Green-Bond-Impact-Report-17-18.pdf
XS1851226891,0.75% SNR EMTN 05/07/2028 EUR100000,239957,KommuneKredit,Financials,Denmark,5/7/2018,19-01-22,19-01-22,750,EUR,1.15,5/7/2028,0.75,Green,0,0,100,0,0,0,0,Others Green,100,0,0,0,0,7,31,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-386,-332578,,NA,NA,64,,83,100,100,33,100,https://www.kommunekredit.dk/wp-content/uploads/filebase/en/green-bond-impact-reports/KommuneKredit_GBIR_Report_2021_web.pdf; https://www.kommunekredit.dk/wp-content/uploads/2018/05/KommuneKredit-Green-Bond-Framework-27-March-2017.pdf; https://www.kommunekredit.dk/wp-content/uploads/2021/05/Eligible-Loans-as-of-31122020.xlsx
